Pinyin_T,onset,Pinyin,tone,onset.type,syllable,syllable2,syllable3,syllable4,syllable.type,gap_narrow,gap_broad,token frequency,type frequency,Number of gaps,Probability,PND.C_G_V_C,PND.C_G_V_X,NF.C_G_V_C,NF.C_G_V_X
weng2,0,weng,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,8,3,0.002934059,25,25,17263.774,17263.774
weng3,0,weng,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,8,3,0.002934059,25,25,17263.774,17263.774
weng4,0,weng,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,8,3,0.002934059,25,25,17263.774,17263.774
yan1,0,yan,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,89,1134,0,0.479977505,27,26,101908.114,103177.944
yan2,0,yan,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,695,1134,0,0.479977505,27,26,101908.114,103177.944
yan3,0,yan,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,220,1134,0,0.479977505,27,26,101908.114,103177.944
yan4,0,yan,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,130,1134,0,0.479977505,27,26,101908.114,103177.944
yang1,0,yang,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,53,4644,0,0.297587912,42,43,60050.411,71107.958
yang2,0,yang,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,423,4644,0,0.297587912,42,43,60050.411,71107.958
yang3,0,yang,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,116,4644,0,0.297587912,42,43,60050.411,71107.958
yang4,0,yang,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,4052,4644,0,0.297587912,42,43,60050.411,71107.958
yin1,0,yin,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,3767,4360,0,0.466634839,28,25,318446.2898,266757.3556
yin2,0,yin,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,336,4360,0,0.466634839,28,25,318446.2898,266757.3556
yin3,0,yin,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,105,4360,0,0.466634839,28,25,318446.2898,266757.3556
yin4,0,yin,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,152,4360,0,0.466634839,28,25,318446.2898,266757.3556
ying1,0,ying,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1289,1996,0,0.406652587,24,22,347323.071,283415.071
ying2,0,ying,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,179,1996,0,0.406652587,24,22,347323.071,283415.071
ying3,0,ying,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,334,1996,0,0.406652587,24,22,347323.071,283415.071
ying4,0,ying,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,194,1996,0,0.406652587,24,22,347323.071,283415.071
yong1,0,yong,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,9,1156,1,0.360358184,30,31,29005.205,50498.733
yong2,0,yong,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,1156,1,0.360358184,30,31,29005.205,50498.733
yong3,0,yong,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,202,1156,1,0.360358184,30,31,29005.205,50498.733
yong4,0,yong,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,945,1156,1,0.360358184,30,31,29005.205,50498.733
yuan1,0,yuan,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,8,1775,0,0.675975289,17,14,18553.9,20225.375
yuan2,0,yuan,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1049,1775,0,0.675975289,17,14,18553.9,20225.375
yuan3,0,yuan,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,256,1775,0,0.675975289,17,14,18553.9,20225.375
yuan4,0,yuan,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,462,1775,0,0.675975289,17,14,18553.9,20225.375
yun1,0,yun,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,5,516,0,0.111414577,22,20,45807.85714,46172.84524
yun2,0,yun,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,39,516,0,0.111414577,22,20,45807.85714,46172.84524
yun3,0,yun,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,4,516,0,0.111414577,22,20,45807.85714,46172.84524
yun4,0,yun,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,468,516,0,0.111414577,22,20,45807.85714,46172.84524
bie1,b,bie,1,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,2,340,2,0.097474479,22,20,107428.944,108067.875
bie2,b,bie,2,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,338,340,2,0.097474479,22,20,107428.944,108067.875
bie3,b,bie,3,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,N,0,340,2,0.097474479,22,20,107428.944,108067.875
bie4,b,bie,4,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,N,0,340,2,0.097474479,22,20,107428.944,108067.875
bo1,b,bo,1,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,111,342,0,0,30,27,1233334.175,1233371.2
