LanguageName,InventoryID,ISO6393,Glottocode,Source,name,isocodes,level,macroarea,latitude,longitude,SegmentN
Bakaka (Mwaneka),1555,bqz,baka1273,gm,Bakaka,bqz,language,Africa,4.79991,9.80402,34
Bakanh,2901,pkn,paka1251,er,Pakanha,pkn,language,Australia,-15.0908,142.74,31
Bakhtiari,2249,bqi,bakh1245,ea,Bakhtiari,bqi,language,Eurasia,32.0163,49.7713,36
Bakoko,1180,bkh,bako1249,ph,Bakoko,bkh,language,Africa,3.56518,9.99905,33
Balante,1391,bjt,bala1302,gm,Balanta-Ganja,bjt,language,Africa,12.5382,-15.6658,50
Balardung,2864,nys,nyun1247,er,Nyunga,nys,language,Australia,-33.1199,118.151,22
Balese,1636,les,lese1243,gm,Lese,les,language,Africa,1.3,29.3,42
Bali-Kumbat,1181,muo,nyon1241,ph,Nyong,muo,language,Africa,7.274185,11.061485,42
Balinese,1693,ban,bali1278,gm,Balinese,ban,language,Papunesia,-8.35714,115.075,24
Balti,1709,bft,balt1258,ra,Balti,bft,language,Eurasia,34.4491,77.2859,93
Bamana,1496,bam,bamb1269,gm,Bambara,bam,language,Africa,12.9,-7.65,58
Bambalang; Círàmbɔ́,1204,bmo,bamb1265,ph,Bambalang,bmo,language,Africa,5.861,10.544,57
Bambara,664,bam,bamb1269,aa,Bambara,bam,language,Africa,12.9,-7.65,43
BAMBARA,238,bam,bamb1269,upsid,Bambara,bam,language,Africa,12.9,-7.65,35
Bamunka,1182,bvm,bamu1256,ph,Bamunka,bvm,language,Africa,6.00203,10.5127,32
bana,1248,bcw,bana1305,gm,Bana,bcw,language,Africa,10.3535,13.6131,44
Banda,665,bfl,band1345,aa,Banda-Ndélé,bfl,language,Africa,8.03339,23.9021,91
Banda,666,bfl,band1345,aa,Banda-Ndélé,bfl,language,Africa,8.03339,23.9021,91
Banda Malay,1685,bpq,band1353,gm,Banda Malay,bpq,language,Papunesia,-4.55565,129.905,23
Banda, West Central,1308,bbp,west2458,gm,West Central Banda,bbp,language,Africa,6.81435,24.1012,46
Bandi,667,bza,band1352,aa,Bandi,bza,language,Africa,7.73729,-10.1684,48
BANDJALANG,248,xjb,twee1234,upsid,Tweed-Albert,xjb,language,Australia,-28.028726,153.286993,16
Bandjigali,2875,drl,band1337,er,Bandjigali,bjd,language,Australia,-30.0771,143.282,26
Bangolan,1183,bgj,bang1356,ph,Bangolan,bgj,language,Africa,6.0125,10.667,40
Baniwa,1811,bwi,bani1255,saphon,Baniwa do Icana,bwi,language,South America,2.17859,-67.7704,50
Baniwa,1812,bwi,bani1255,saphon,Baniwa do Icana,bwi,language,South America,2.17859,-67.7704,50
Banjara,1710,lmn,lamb1269,ra,Lambadi,lmn,language,Eurasia,16.5734,76.9717,34
Banjun,1384,bbj,ghom1247,gm,Ghomálá',bbj,language,Africa,5.39619,10.352,59
Bankon,1522,abb,bank1256,gm,Bankon,abb,language,Africa,4.3702,9.6403,37
Banoo,1184,bnm,bata1285,ph,Batanga,bnm,language,Africa,1.397041,9.51011,31
Baoulé,668,bci,baou1238,aa,Baoulé,bci,language,Africa,5.42509,-4.76565,37
Barada,2798,gnl,gang1268,er,Gangulu,gnl,language,Australia,-22.7637,149.416,18
Barasana-Eduria,2050,bsn,bara1380,saphon,Barasana-Eduria,bsn,language,South America,0.02193,-70.808,17
Barasano,114,bao,waim1255,spa,Waimaha,bao,language,South America,0.30416,-70.1644,25
BARASANO,239,bao,waim1255,upsid,Waimaha,bao,language,South America,0.30416,-70.1644,23
Barbareño,862,boi,barb1263,ph,Barbareño,boi,language,North America,34.462,-119.699,84
Barbareño,1239,boi,barb1263,ph,Barbareño,boi,language,North America,34.462,-119.699,84
