ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII
58,22,9,1323,0,953,1,gian1,ki[n1
58,20,6,826,1,409,1,gian1,ki[n1
58,8,9,1330,0,666,1,gian1,ki[n1
58,2,1,41,0,1607,1,gian1,ki[n1
59,2,1,23,0,1495,1,kvi1,Kyei1
59,22,6,893,0,1457,1,kvi1,Kyei1
59,8,9,1344,0,999,1,kvi1,Kyei1
59,1,4,605,0,259,1,kvi1,Kyei1
59,20,3,395,1,199,1,kvi1,Kyei1
60,20,7,996,1,110,1,fio3,fio3
60,2,8,1251,0,1250,1,fio3,fio3
60,1,7,974,0,566,1,fio3,fio3
60,22,9,1397,0,1314,1,fio3,fio3
60,8,4,587,0,2167,1,fio3,fio3
61,1,9,1312,0,493,1,tvai4,Tyai4
61,22,4,496,0,1687,1,tvai4,Tyai4
61,20,9,1335,1,246,1,tvai4,Tyai4
61,8,5,715,1,1669,1,tvai4,Tyai4
61,2,4,488,0,706,1,tvai4,Tyai4
62,22,7,1090,1,2318,1,luou4,luou4
62,8,5,680,1,1451,1,luou4,luou4
62,1,3,335,0,1400,1,luou4,luou4
62,20,2,217,1,28,1,luou4,luou4
62,2,9,1282,0,904,1,luou4,luou4
63,1,9,1439,0,539,1,tiei1,Tiei1
63,2,9,1365,0,849,1,tiei1,Tiei1
63,8,9,1327,0,1026,1,tiei1,Tiei1
63,20,9,1326,1,71,1,tiei1,Tiei1
63,22,6,830,1,2036,1,tiei1,Tiei1
64,8,9,1399,0,1001,1,kue3,Kue3
64,2,8,1197,0,956,1,kue3,Kue3
64,1,9,1365,0,1055,1,kue3,Kue3
64,20,9,1440,1,68,1,kue3,Kue3
64,22,8,1244,0,664,1,kue3,Kue3
65,2,8,1172,0,149,1,gei1,kei1
65,20,7,1062,1,112,1,gei1,kei1
65,1,10,1521,0,453,1,gei1,kei1
65,8,10,1522,0,837,1,gei1,kei1
65,22,4,489,0,1964,1,gei1,kei1
66,8,4,508,1,1643,1,lvi2,lyei2
66,1,7,1045,0,640,1,lvi2,lyei2
66,20,2,238,1,8,1,lvi2,lyei2
66,22,10,1454,0,701,1,lvi2,lyei2
